ENTREZID	SYMBOL
24138	IFIT5
64757	MTARC1
201799	TMEM154
219537	SMTNL1
9075	CLDN2
716	C1S
3767	KCNJ11
168455	CCDC71L
168002	DACT2
25758	KIAA1549L
22822	PHLDA1
3566	IL4R
9536	PTGES
122622	ADSS1
114907	FBXO32
7980	TFPI2
284751	LINC01270
3872	KRT17
127544	RNF19B
84176	MYH16
84733	CBX2
7185	TRAF1
30011	SH3KBP1
80328	ULBP2
3026	HABP2
200407	CREG2
282616	IFNL2
11240	PADI2
151636	DTX3L
83666	PARP9
26051	PPP1R16B
56829	ZC3HAV1
55686	MREG
282617	IFNL3
223117	SEMA3D
115201	ATG4A
7052	TGM2
84875	PARP10
23034	SAMD4A
79574	EPS8L3
85450	ITPRIP
1026	CDKN1A
3310	HSPA6
3627	CXCL10
57458	TMCC3
4907	NT5E
3641	INSL4
5420	PODXL
7421	VDR
7357	UGCG
29070	CCDC113
56243	KIAA1217
9023	CH25H
3936	LCP1
135250	RAET1E
57514	ARHGAP31
7706	TRIM25
3172	HNF4A
10475	TRIM38
2266	FGG
79772	MCTP1
27092	CACNG4
352954	CASTOR3P
3371	TNC
7424	VEGFC
1847	DUSP5
55601	DDX60
57447	NDRG2
55715	DOK4
6567	SLC16A2
100126784	LEISA1
25803	SPDEF
2049	EPHB3
64651	CSRNP1
5366	PMAIP1
1308	COL17A1
727	C5
9830	TRIM14
57169	ZNFX1
90874	ZNF697
94234	FOXQ1
80000	GREB1L
2634	GBP2
11153	FICD
8519	IFITM1
7133	TNFRSF1B
84904	ARHGEF39
5526	PPP2R5B
30817	ADGRE2
100505994	LUCAT1
729438	CASTOR2
2646	GCKR
3732	CD82
22795	NID2
1756	DMD
3575	IL7R
968	CD68
100507127	LINC00707
710	SERPING1
9263	STK17A
5452	POU2F2
11167	FSTL1
89958	SAPCD2
9963	SLC23A1
290	ANPEP
2264	FGFR4
9881	TRANK1
23424	TDRD7
57664	PLEKHA4
23710	GABARAPL1
3678	ITGA5
101928841	NA
254228	CALHM5
26999	CYFIP2
80149	ZC3H12A
100287082	GACAT2
650	BMP2
9619	ABCG1
152926	PPM1K
56997	COQ8A
1490	CCN2
255324	EPGN
23764	MAFF
10083	USH1C
4312	MMP1
5021	OXTR
80119	PIF1
7498	XDH
55806	HR
26153	KIF26A
9721	GPRIN2
80008	TMEM156
27134	TJP3
100130238	GALNT9-AS1
22885	ABLIM3
10957	PNRC1
952	CD38
7006	TEC
10385	BTN2A2
2696	GIPR
3625	INHBB
154	ADRB2
348938	NIPAL4
8537	BCAS1
5364	PLXNB1
203190	LGI3
8682	PEA15
2531	KDSR
389602	LOC389602
7453	WARS1
9340	GLP2R
10481	HOXB13
79047	KCTD15
56938	BMAL2
3914	LAMB3
124359	CDYL2
57613	FAM234B
2053	EPHX2
150967	LINC01963
65249	ZSWIM4
10186	LHFPL6
834	CASP1
954	ENTPD2
4688	NCF2
352999	C6orf58
5608	MAP2K6
9448	MAP4K4
56967	C14orf132
9111	NMI
3098	HK1
59344	ALOXE3
64167	ERAP2
55521	TRIM36
5467	PPARD
634	CEACAM1
57464	STRIP2
8740	TNFSF14
388662	SLC6A17
6809	STX3
23101	MCF2L2
56896	DPYSL5
90668	CARMIL3
6328	SCN3A
197335	WDR90
113220	KIF12
23135	KDM6B
440081	DDX12P
79056	PRRG4
7164	TPD52L1
11067	DEPP1
25907	TMEM158
3400	ID4
7111	TMOD1
8941	CDK5R2
5029	P2RY2
51296	SLC15A3
1318	SLC31A2
202915	TMEM184A
79827	CLMP
684	BST2
7483	WNT9A
51523	CXXC5
1306	COL15A1
221935	SDK1
100506627	NA
715	C1R
23645	PPP1R15A
837	CASP4
9120	SLC16A6
10644	IGF2BP2
84433	CARD11
2267	FGL1
81631	MAP1LC3B
283316	CD163L1
64761	PARP12
8843	HCAR3
1948	EFNB2
9181	ARHGEF2
94240	EPSTI1
10221	TRIB1
7318	UBA7
3662	IRF4
105373311	LOC105373311
8724	SNX3
412	STS
727897	MUC5B
6615	SNAI1
399959	MIR100HG
91433	RCCD1
126432	RINL
149175	MANEAL
1263	PLK3
23354	HAUS5
50615	IL21R
10110	SGK2
11237	RNF24
4922	NTS
387763	C11orf96
4586	MUC5AC
50862	RNF141
1015	CDH17
118738	ZNF488
56675	NRIP3
6737	TRIM21
10580	SORBS1
5924	RASGRF2
3795	KHK
53833	IL20RB
9056	SLC7A7
4170	MCL1
24145	PANX1
377677	CA13
6296	ACSM3
4864	NPC1
400566	LIAT1
140738	TMEM37
57180	ACTR3B
133	ADM
10384	BTN3A3
84985	FAM83A
123745	PLA2G4E
629	CFB
400961	PAIP2B
9844	ELMO1
728855	LINC00623
79661	NEIL1
10370	CITED2
57707	MEAK7
3978	LIG1
84879	MFSD2A
57574	MARCHF4
64116	SLC39A8
79924	ADM2
9314	KLF4
11031	RAB31
3033	HADH
23221	RHOBTB2
5754	PTK7
6927	HNF1A
55065	SLC52A1
93649	MYOCD
151963	MB21D2
8728	ADAM19
1843	DUSP1
87178	PNPT1
79980	DSN1
50649	ARHGEF4
26150	RIBC2
8797	TNFRSF10A
85302	FBF1
1440	CSF3
169611	OLFML2A
4130	MAP1A
1390	CREM
3656	IRAK2
5552	SRGN
80206	FHOD3
10397	NDRG1
134285	TMEM171
3993	LLGL2
128178	EDARADD
10962	MLLT11
55370	PPP4R1L
79814	AGMAT
56895	AGPAT4
146760	RTN4RL1
23786	BCL2L13
54944	LINC01521
3162	HMOX1
84073	MYCBPAP
130	ADH6
9388	LIPG
123099	DEGS2
23780	APOL2
4792	NFKBIA
55033	FKBP14
8178	ELL
43	ACHE
9531	BAG3
127253	TYW3
80020	FOXRED2
164781	DAW1
222643	UNC5CL
3475	IFRD1
162394	SLFN5
93145	OLFM2
149076	ZNF362
54718	BTN2A3P
90673	PPP1R3E
649946	RPL23AP64
5033	P4HA1
57639	CCDC146
2297	FOXD1
9711	RUBCN
11274	USP18
5806	PTX3
286133	SCARA5
80723	SLC35G2
388531	RGS9BP
27145	FILIP1
55355	HJURP
91351	DDX60L
10379	IRF9
84440	RAB11FIP4
861	RUNX1
89795	NAV3
961	CD47
54058	C21orf58
3679	ITGA7
843	CASP10
943	TNFRSF8
6928	HNF1B
84419	C15orf48
161176	SYNE3
7104	TM4SF4
3576	CXCL8
137994	LETM2
84620	ST6GAL2
3309	HSPA5
8710	SERPINB7
8208	CHAF1B
5336	PLCG2
57089	ENTPD7
388323	GLTPD2
7328	UBE2H
54742	LY6K
586	BCAT1
23762	OSBP2
2887	GRB10
387787	LIPT2
8913	CACNA1G
80380	PDCD1LG2
55349	CHDH
3690	ITGB3
285966	TCAF2
66002	CYP4F12
9132	KCNQ4
10509	SEMA4B
162494	RHBDL3
55361	PI4K2A
1647	GADD45A
219	ALDH1B1
23105	FSTL4
6404	SELPLG
6493	SIM2
3777	KCNK3
1058	CENPA
7062	TCHH
3638	INSIG1
4916	NTRK3
112609	MRAP2
11339	OIP5
84254	CAMKK1
408	ARRB1
4640	MYO1A
5163	PDK1
27010	TPK1
286183	NKAIN3
3431	SP110
2674	GFRA1
50651	SLC45A1
28951	TRIB2
23129	PLXND1
56999	ADAMTS9
5791	PTPRE
152404	IGSF11
8767	RIPK2
124222	PAQR4
9246	UBE2L6
1289	COL5A1
840	CASP7
8291	DYSF
7374	UNG
51561	IL23A
100288797	TMEM239
55540	IL17RB
80853	KDM7A
401546	C9orf152
6866	TAC3
57405	SPC25
4973	OLR1
51251	NT5C3A
51131	PHF11
960	CD44
10019	SH2B3
25854	FAM149A
7098	TLR3
9603	NFE2L3
4210	MEFV
11149	BVES
8837	CFLAR
8915	BCL10
78991	PCYOX1L
2869	GRK5
3081	HGD
9683	N4BP1
23491	CES3
90288	EFCAB12
4355	MPP2
5272	SERPINB9
55764	IFT122
64781	CERK
100507156	LOXL2-AS1
3212	HOXB2
25817	TAFA5
26230	TIAM2
56648	EIF5A2
6307	MSMO1
84803	GPAT3
79669	C3orf52
54478	PIMREG
5581	PRKCE
3337	DNAJB1
23071	ERP44
9394	HS6ST1
30844	EHD4
5724	PTAFR
55959	SULF2
5610	EIF2AK2
2244	FGB
25819	NOCT
3209	HOXA13
57559	STAMBPL1
222166	MTURN
6695	SPOCK1
8825	LIN7A
10734	STAG3
5097	PCDH1
115584	SLC5A11
4017	LOXL2
6303	SAT1
597	BCL2A1
29080	CCDC59
54020	SLC37A1
5270	SERPINE2
91663	MYADM
219736	STOX1
100505746	ITGB2-AS1
144453	BEST3
4615	MYD88
8091	HMGA2
200879	LIPH
4796	TONSL
55924	INKA2
55802	DCP1A
10551	AGR2
90990	KIFC2
64859	NABP1
8448	DOC2A
2065	ERBB3
56944	OLFML3
316	AOX1
3587	IL10RA
284996	RNF149
8676	STX11
54894	RNF43
3665	IRF7
1942	EFNA1
1820	ARID3A
26298	EHF
113457	TUBA3D
222962	SLC29A4
5979	RET
148398	SAMD11
4171	MCM2
9953	HS3ST3B1
9180	OSMR
91409	CCDC74B
8727	CTNNAL1
54492	NEURL1B
730268	ANAPC1P4
25900	IFFO1
1364	CLDN4
284656	EPHA10
114818	KLHL29
3725	JUN
130589	GALM
9069	CLDN12
5624	PROC
85449	KIAA1755
729178	STXBP5-AS1
84243	ZDHHC18
146336	SSTR5-AS1
127343	DMBX1
81603	TRIM8
2043	EPHA4
5888	RAD51
134	ADORA1
4189	DNAJB9
728577	CNTNAP3B
2000	ELF4
23130	ATG2A
7566	ZNF18
79836	LONRF3
5054	SERPINE1
3198	HOXA1
8663	EIF3C
2131	EXT1
50509	COL5A3
7015	TERT
9567	GTPBP1
767	CA8
760	CA2
3925	STMN1
54809	SAMD9
57325	KAT14
7320	UBE2B
3600	IL15
83543	AIF1L
5603	MAPK13
2189	FANCG
5865	RAB3B
10808	HSPH1
84957	RELT
11041	B4GAT1
730102	CRYZL2P
79071	ELOVL6
51673	TPPP3
6515	SLC2A3
55260	TMEM143
664	BNIP3
3151	HMGN2
25837	RAB26
164091	PAQR7
80146	UXS1
2306	FOXD2
8876	VNN1
144811	LACC1
79962	DNAJC22
51666	ASB4
26010	SPATS2L
55062	WIPI1
6539	SLC6A12
84951	TNS4
50848	F11R
26207	PITPNC1
9901	SRGAP3
8828	NRP2
3429	IFI27
340390	WDR97
8787	RGS9
10525	HYOU1
10612	TRIM3
79098	C1orf116
4131	MAP1B
63924	CIDEC
151242	PPP1R1C
100129534	LOC100129534
90529	STPG1
59352	LGR6
3949	LDLR
19	ABCA1
5137	PDE1C
10217	CTDSPL
4998	ORC1
100133941	CD24
26050	SLITRK5
79152	FA2H
11119	BTN3A1
8651	SOCS1
6734	SRPRA
5164	PDK2
65108	MARCKSL1
2542	SLC37A4
127707	KLHDC7A
79605	PGBD5
3601	IL15RA
899	CCNF
55244	SLC47A1
4815	NINJ2
93622	MRFAP1L2
687	KLF9
85301	COL27A1
202781	PAXIP1-DT
9586	CREB5
6722	SRF
22936	ELL2
123879	DCUN1D3
282997	PDCD4-AS1
1236	CCR7
54930	HAUS4
83463	MXD3
79896	THNSL1
24139	EML2
84296	GINS4
83667	SESN2
27101	CACYBP
5655	KLK10
8482	SEMA7A
83692	CD99L2
401431	ATP6V0E2-AS1
79729	SH3D21
9768	PCLAF
114780	PKD1L2
55036	CCDC40
6361	CCL17
1646	AKR1C2
22827	PUF60
1969	EPHA2
100130417	LINC02593
7074	TIAM1
79698	ZMAT4
379	ARL4D
116028	RMI2
4925	NUCB2
51119	SBDS
84722	PSRC1
11076	TPPP
218	ALDH3A1
3910	LAMA4
5347	PLK1
4053	LTBP2
8839	CCN5
5210	PFKFB4
66004	LYNX1
131616	TMEM42
64208	POPDC3
1854	DUT
728113	ANXA8L1
90632	LINC00473
1428	CRYM
440465	BAIAP2-DT
57716	PRX
1893	ECM1
79695	GALNT12
1316	KLF6
138311	DIPK1B
199953	TMEM201
2774	GNAL
145773	FAM81A
3301	DNAJA1
201456	FBXO15
283267	LINC00294
10410	IFITM3
65268	WNK2
55315	SLC29A3
6098	ROS1
5481	PPID
145864	HAPLN3
92737	DNER
7157	TP53
115825	WDFY2
55698	RADIL
128486	FITM2
259	AMBP
7056	THBD
113277	TMEM106A
29943	PADI1
80263	TRIM45
105371414	LOC105371414
317762	CCDC85C
64393	ZMAT3
2886	GRB7
6470	SHMT1
2534	FYN
9026	HIP1R
23187	PHLDB1
25874	MPC2
147968	CAPN12
11120	BTN2A1
64772	ENGASE
90113	VWA5B2
388646	GBP7
54676	GTPBP2
56953	NT5M
222950	NYAP1
64919	BCL11B
134147	CMBL
3960	LGALS4
101927260	NA
891	CCNB1
2651	GCNT2
10046	MAMLD1
8780	RIOK3
152519	NIPAL1
339942	H1-10-AS1
3556	IL1RAP
79447	PAGR1
27239	GPR162
90853	SPOCD1
828	CAPS
199731	CADM4
10893	MMP24
6038	RNASE4
2113	ETS1
790	CAD
11221	DUSP10
146059	CDAN1
6772	STAT1
643977	FLJ32255
10786	SLC17A3
91057	CCDC34
4331	MNAT1
64847	SPATA20
50855	PARD6A
56882	CDC42SE1
83988	NCALD
23031	MAST3
2904	GRIN2B
117584	RFFL
567	B2M
64798	DEPTOR
84289	ING5
84553	FAXC
5228	PGF
89849	ATG16L2
51278	IER5
1806	DPYD
90768	TENM3-AS1
4151	MB
221	ALDH3B1
3320	HSP90AA1
100287569	LINC00173
80219	COQ10B
5111	PCNA
7343	UBTF
5557	PRIM1
203228	C9orf72
8534	CHST1
84002	B3GNT5
4059	BCAM
441191	RNF216P1
27235	COQ2
146857	SLFN13
6675	UAP1
23371	TNS2
51473	DCDC2
26220	DGCR5
158219	TTC39B
79847	MFSD13A
2125	EVPL
79671	NLRX1
197259	MLKL
5293	PIK3CD
27293	SMPDL3B
9520	NPEPPS
51513	ETV7
160897	GPR180
257396	MOCS2-DT
147040	KCTD11
153222	CREBRF
1803	DPP4
3140	MR1
4703	NEB
8692	HYAL2
1241	LTB4R
860	RUNX2
84447	SYVN1
26275	HIBCH
2177	FANCD2
29799	YPEL1
22800	RRAS2
22821	RASA3
641	BLM
6793	STK10
9601	PDIA4
399473	SPRED3
81579	PLA2G12A
54480	CHPF2
114880	OSBPL6
22849	CPEB3
6720	SREBF1
100506469	TMEM147-AS1
7436	VLDLR
3394	IRF8
2039	DMTN
125113	KRT222
55723	ASF1B
2627	GATA6
80224	NUBPL
7852	CXCR4
3149	HMGB3
79631	EFL1
4867	NPHP1
54507	ADAMTSL4
10461	MERTK
776	CACNA1D
54961	SSH3
126823	KLHDC9
494513	PJVK
3613	IMPA2
2006	ELN
84159	ARID5B
8479	HIRIP3
100506083	DDX19A-DT
3105	HLA-A
283232	TMEM80
493	ATP2B4
79075	DSCC1
3687	ITGAX
6002	RGS12
283335	TNS2-AS1
6444	SGCD
51332	SPTBN5
4172	MCM3
374654	KIF7
2941	GSTA4
55092	TMEM51
6769	STAC
23113	CUL9
339210	C17orf67
55592	GOLGA2P5
6513	SLC2A1
132671	SPATA18
323	APBB2
100505702	LINC01094
6839	SUV39H1
57291	DANCR
84978	FRMD5
501	ALDH7A1
2012	EMP1
196410	TMT1B
2013	EMP2
3976	LIF
3675	ITGA3
170393	LINC02870
1983	EIF5
284076	TTLL6
4005	LMO2
28984	RGCC
7036	TFR2
8605	PLA2G4C
9498	SLC4A8
126282	TNFAIP8L1
7739	ZNF185
25939	SAMHD1
5498	PPOX
57595	PDZD4
10382	TUBB4A
10125	RASGRP1
3386	ICAM4
7039	TGFA
4752	NEK3
4790	NFKB1
26511	CHIC2
284069	FAM171A2
11144	DMC1
133396	IL31RA
6543	SLC8A2
115701	ALPK2
54852	PAQR5
5734	PTGER4
100528062	ARMCX5-GPRASP2
171423	PDIA3P1
55638	SYBU
23551	RASD2
1778	DYNC1H1
58473	PLEKHB1
3491	CCN1
81844	TRIM56
6945	MLX
56271	BEX4
5214	PFKP
79627	OGFRL1
122416	ANKRD9
79658	ARHGAP10
6774	STAT3
55812	SPATA7
116984	ARAP2
64747	MFSD1
100422737	LINC02532
6272	SORT1
8970	H2BC11
84894	LINGO1
256302	NATD1
8416	ANXA9
54970	TTC12
375033	PEAR1
6452	SH3BP2
8644	AKR1C3
9514	GAL3ST1
80201	HKDC1
642846	LOC642846
441478	NRARP
115004	CGAS
55095	SAMD4B
54823	SWT1
83440	ADPGK
57209	ZNF248
147011	PROCA1
11017	SNRNP27
51569	UFM1
23307	FKBP15
57210	SLC45A4
478	ATP1A3
6337	SCNN1A
9976	CLEC2B
3691	ITGB4
55248	PACC1
345557	PLCXD3
90557	CCDC74A
221150	SKA3
308	ANXA5
8795	TNFRSF10B
10621	POLR3F
10451	VAV3
55825	PECR
2959	GTF2B
11177	BAZ1A
51280	GOLM1
23268	DNMBP
51186	TCEAL9
158160	HSD17B7P2
7059	THBS3
441108	IRF1-AS1
134429	STARD4
344558	SH3RF3
53349	ZFYVE1
196872	LINC00638
158228	FAM201A
4967	OGDH
2232	FDXR
400242	DICER1-AS1
5800	PTPRO
81792	ADAMTS12
10403	NDC80
81617	CAB39L
89797	NAV2
284186	TMEM105
7190	HSP90B2P
90423	ATP6V1E2
4185	ADAM11
9118	INA
4645	MYO5B
120376	POU2AF3
29090	TIMM21
93664	CADPS2
144132	DNHD1
59285	CACNG6
8526	DGKE
51435	SCARA3
5873	RAB27A
23245	ASTN2
1852	DUSP9
8908	GYG2
4067	LYN
79628	SH3TC2
2948	GSTM4
374655	ZNF710
283537	SLC46A3
9208	LRRFIP1
2200	FBN1
255758	DYNLT2B
26286	ARFGAP3
8398	PLA2G6
65056	GPBP1
5327	PLAT
2355	FOSL2
41	ASIC1
11092	SPACA9
9609	RAB36
2923	PDIA3
60509	AGBL5
2151	F2RL2
3570	IL6R
79906	MORN1
79411	GLB1L
5771	PTPN2
7029	TFDP2
10950	BTG3
83643	CCDC3
1033	CDKN3
55359	STYK1
5867	RAB4A
79754	ASB13
51090	PLLP
10615	SPAG5
6016	RIT1
8645	KCNK5
1468	SLC25A10
1515	CTSV
7162	TPBG
1491	CTH
8487	GEMIN2
5371	PML
100134229	KDM7A-DT
112399	EGLN3
55901	THSD1
5230	PGK1
57205	ATP10D
124790	HEXIM2
123688	HYKK
9088	PKMYT1
23529	CLCF1
81794	ADAMTS10
57513	CASKIN2
23598	PATZ1
301	ANXA1
528	ATP6V1C1
399665	EEIG1
51222	ZNF219
90488	TMEM263
116039	OSR2
266812	NAP1L5
114904	C1QTNF6
4783	NFIL3
1075	CTSC
92558	BICDL1
445	ASS1
9145	SYNGR1
9638	FEZ1
79939	SLC35E1
9545	RAB3D
9133	CCNB2
55321	TMEM74B
414328	IDNK
81621	KAZALD1
7128	TNFAIP3
122786	FRMD6
55568	GALNT10
1906	EDN1
65981	CAPRIN2
84057	MND1
10036	CHAF1A
80178	TEDC2
220992	ZNF485
1796	DOK1
1801	DPH1
54704	PDP1
54522	ANKRD16
4174	MCM5
57409	MIF4GD
6495	SIX1
1645	AKR1C1
8566	PDXK
6616	SNAP25
101928483	NALT1
51129	ANGPTL4
113263	GLCCI1
147645	VSIG10L
340075	ARSI
219743	TYSND1
80054	CEBPA-DT
22993	HMGXB3
84541	KBTBD8
64081	PBLD
27086	FOXP1
7263	TST
100506860	LINC00513
4774	NFIA
23304	UBR2
10170	DHRS9
9709	HERPUD1
8884	SLC5A6
55721	IQCC
23463	ICMT
7351	UCP2
219699	UNC5B
64077	LHPP
51512	GTSE1
10658	CELF1
140862	ISM1
84514	GHDC
647024	C6orf132
219790	RTKN2
23002	DAAM1
9734	HDAC9
440689	H2BC18
6767	ST13
9537	TP53I11
8501	SLC43A1
8564	KMO
5641	LGMN
1397	CRIP2
642946	FLVCR1-DT
23302	WSCD1
9209	LRRFIP2
30001	ERO1A
5984	RFC4
376267	RAB15
284403	WDR62
105375355	UPK3B
55572	FOXRED1
1284	COL4A2
7067	THRA
100507316	MINCR
57190	SELENON
129531	MITD1
80150	ASRGL1
80199	FUZ
8496	PPFIBP1
2069	EREG
158056	MAMDC4
10226	PLIN3
23178	PASK
9696	CROCC
64332	NFKBIZ
5520	PPP2R2A
80227	PAAF1
129880	BBS5
54753	ZNF853
100507487	LINC02615
57016	AKR1B10
3866	KRT15
101154753	PANDAR
23208	SYT11
5362	PLXNA2
160428	ALDH1L2
84314	TMEM107
23363	OBSL1
9212	AURKB
91442	FAAP24
51301	GCNT4
6510	SLC1A5
90627	STARD13
100507458	ZNF213-AS1
9175	MAP3K13
1824	DSC2
201181	ZNF385C
10620	ARID3B
3171	FOXA3
84649	DGAT2
5424	POLD1
101928136	LINC01484
1608	DGKG
10393	ANAPC10
23416	KCNH3
3669	ISG20
283345	RPL13P5
1282	COL4A1
57523	NYNRIN
80256	ATOSB
22989	MYH15
100506621	NA
27076	LYPD3
8507	ENC1
23546	SYNGR4
7023	TFAP4
390	RND3
53340	SPA17
63976	PRDM16
148327	CREB3L4
374286	FBXW10B
80022	MYO15B
55561	CDC42BPG
5899	RALB
83931	STK40
10487	CAP1
84892	POMGNT2
5192	PEX10
2564	GABRE
6461	SHB
8786	RGS11
1002	CDH4
6508	SLC4A3
54964	C1orf56
123283	TARS3
4354	MPP1
824	CAPN2
146664	MGAT5B
10049	DNAJB6
10627	MYL12A
146909	KIF18B
813	CALU
7517	XRCC3
51805	COQ3
64718	UNKL
9415	FADS2
84909	AOPEP
9334	B4GALT5
90952	ESAM
10301	DLEU1
11004	KIF2C
79019	CENPM
25976	TIPARP
10861	SLC26A1
995	CDC25C
57213	SPRYD7
7087	ICAM5
79774	GRTP1
84823	LMNB2
5359	PLSCR1
27079	RPUSD2
48	ACO1
26086	GPSM1
11176	BAZ2A
8438	RAD54L
51310	SLC22A17
2735	GLI1
3229	HOXC13
27124	INPP5J
5352	PLOD2
81558	FAM117A
9401	RECQL4
54494	C11orf71
26145	IRF2BP1
388282	LOC388282
3459	IFNGR1
7086	TKT
2781	GNAZ
8462	KLF11
3660	IRF2
5064	PALM
83461	CDCA3
55331	ACER3
190	NR0B1
5939	RBMS2
64943	NT5DC2
89944	GLB1L2
8991	SELENBP1
3312	HSPA8
2004	ELK3
3964	LGALS8
8038	ADAM12
9367	RAB9A
219844	HYLS1
8862	APLN
81602	CDADC1
90780	PYGO2
84131	CEP78
60558	GUF1
378708	CENPS
6617	SNAPC1
26149	ZNF658
220213	OTUD1
91523	PCED1B
8353	H3C6
201255	LRRC45
58515	SELENOK
2664	GDI1
28968	SLC6A16
84061	MAGT1
29940	DSE
3977	LIFR
115992	RNF166
2535	FZD2
129642	MBOAT2
3590	IL11RA
84441	MAML2
124936	CYB5D2
92312	MEX3A
399512	SLC25A35
6548	SLC9A1
57117	INTS12
283	ANG
8835	SOCS2
11264	PXMP4
149483	CCDC17
81565	NDEL1
91461	PKDCC
220108	FAM124A
5950	RBP4
5912	RAP2B
57452	GALNT16
113622	ADPRHL1
727936	GXYLT2
8659	ALDH4A1
55243	KIRREL1
64750	SMURF2
100505761	C10orf95-AS1
84264	HAGHL
7172	TPMT
3156	HMGCR
113189	CHST14
414235	DIP2C-AS1
26022	TMEM98
101929959	BMS1P14
25861	WHRN
87	ACTN1
219333	USP12
51085	MLXIPL
29089	UBE2T
4091	SMAD6
55824	PAG1
6573	SLC19A1
57449	PLEKHG5
22992	KDM2A
55650	PIGV
51659	GINS2
139716	GAB3
1869	E2F1
388567	ZNF749
29903	CCDC106
22848	AAK1
6483	ST3GAL2
1953	MEGF6
64222	TOR3A
2139	EYA2
1365	CLDN3
7089	TLE2
79877	DCAKD
100652736	LINC01311
9513	FXR2
4176	MCM7
644794	LINC02604
2872	MKNK2
26508	HEYL
284371	ZNF841
140462	ASB9
8864	PER2
84068	SLC10A7
8722	CTSF
115106	HAUS1
6608	SMO
10260	DENND4A
83696	TRAPPC9
55222	LRRC20
55858	TMEM165
64946	CENPH
10319	LAMC3
6297	SALL2
203259	FAM219A
23352	UBR4
51308	REEP2
84081	NSRP1
162968	ZNF497
100507032	TMCC1-DT
2921	CXCL3
25886	POC1A
112817	HOGA1
79817	MOB3B
51337	THEM6
84696	ABHD1
5937	RBMS1
3196	TLX2
100507056	CCAT1
6710	SPTB
79027	ZNF655
1849	DUSP7
8558	CDK10
116835	HSPA12B
1759	DNM1
26147	PHF19
2644	GCHFR
770	CA11
80775	TMEM177
55815	TSNAXIP1
421	ARVCF
2237	FEN1
266655	BRD3OS
284739	C20orf204
201283	AMZ2P1
388115	CCDC9B
22926	ATF6
13	AADAC
283349	RASSF3
5777	PTPN6
54442	KCTD5
349152	DPY19L2P2
10130	PDIA6
148932	MOB3C
169044	COL22A1
81620	CDT1
100506746	AFF1-AS1
57017	COQ9
4891	SLC11A2
23066	CAND2
90141	EFCAB11
55664	CDC37L1
113612	CYP2U1
79191	IRX3
51741	WWOX
81562	LMAN2L
9854	C2CD2L
25859	PART1
64403	CDH24
89891	DYNC2I2
11321	GPN1
5744	PTHLH
6919	TCEA2
677	ZFP36L1
493753	COA5
100505666	DCST1-AS1
124093	CCDC78
286207	CFAP157
10906	TRAFD1
23030	KDM4B
2673	GFPT1
1479	CSTF3
3929	LBP
26272	FBXO4
79918	SETD6
51316	PLAC8
51084	CRYL1
84309	NUDT16L1
63922	CHTF18
50614	GALNT9
359845	RFLNB
388886	LRRC75B
